imdb_id,title,year,rated,released,runtime,genre,director,writer,actors,language,country,imdb_rating,type
tt5339440,One Day at a Time,2017–2020,TV-PG,06 Jan 2017,30 min,"Comedy, Drama",,"Gloria Calderon Kellett, Mike Royce","Justina Machado, Todd Grinnell, Isabella Gomez",English,United States,8.2,series
tt2081374,Better Off Single,2016,Not Rated,07 Oct 2016,85 min,Comedy,Benjamin Cox,Benjamin Cox,"Aaron Tveit, Abby Elliott, Lauren Miller Rogen",English,United States,4.3,movie
tt4269746,The Matchbreaker,2016,PG,06 Dec 2016,94 min,"Comedy, Romance",Caleb Vetter,"Caleb Vetter, Wesley Elder, Marshal Younger","Wesley Elder, Christina Grimmie, Osric Chau",English,United States,5.6,movie
tt4991512,Tramps,2016,,21 Apr 2017,82 min,"Adventure, Romance",Adam Leon,"Adam Leon, Jamund Washington","Callum Turner, Grace Van Patten, Michal Vondel","English, Polish",United States,6.5,movie
tt0139615,Slam,1998,R,07 Oct 1998,100 min,Drama,Marc Levin,"Marc Levin, Richard Stratton, Sonja Sohn","Saul Williams, Sonja Sohn, Bonz Malone",English,United States,7.1,movie
tt0120484,The Waterboy,1998,PG-13,06 Nov 1998,90 min,"Comedy, Sport",Frank Coraci,"Tim Herlihy, Adam Sandler","Adam Sandler, Kathy Bates, Henry Winkler",English,United States,6.1,movie
tt0147800,10 Things I Hate About You,1999,PG-13,31 Mar 1999,97 min,"Comedy, Drama, Romance",Gil Junger,"Karen McCullah, Kirsten Smith, William Shakespeare","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt","English, French",United States,7.3,movie
tt0077631,Grease,1978,PG,16 Jun 1978,110 min,"Musical, Romance",Randal Kleiser,"Jim Jacobs, Warren Casey, Bronte Woodard","John Travolta, Olivia Newton-John, Stockard Channing",English,United States,7.2,movie
tt0251127,How to Lose a Guy in 10 Days,2003,PG-13,07 Feb 2003,116 min,"Comedy, Romance",Donald Petrie,"Michele Alexander, Jeannie Long, Kristen Buckley","Kate Hudson, Matthew McConaughey, Adam Goldberg",English,"United States, Germany",6.4,movie
tt0437863,The Benchwarmers,2006,PG-13,07 Apr 2006,85 min,"Comedy, Sport",Dennis Dugan,"Allen Covert, Nick Swardson","David Spade, Jon Heder, Rob Schneider","English, Spanish",United States,5.5,movie
