IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0247882,Forensic Files,1996–2011,TV-14,21 Apr 1996,30 min,"Documentary, Crime",N/A,Paul Dowling,"Peter Thomas, Tom Bevel, Skip Palenik",English,United States,8.8,None,None,series
tt4074374,Game of Silence,2016,TV-MA,12 Apr 2016,60 min,Drama,N/A,David Hudgins,"David Lyons, Michael Raymond-James, Larenz Tate",English,United States,7.1,None,None,series
tt10874860,Going from Broke,2019,N/A,01 Oct 2019,N/A,Reality-TV,N/A,N/A,"Phillip Akali, Danetha Doe, Melissa Miracle McKinney",English,United States,6.2,None,None,series
tt0072507,Grady,1975–1976,N/A,04 Dec 1975,30 min,Comedy,N/A,"Redd Foxx, Bernie Orenstein, Saul Turteltaub","Whitman Mayo, Carol Cole, Joe Morton, Rosanne Katon",English,United States,7.2,None,None,series
tt0421099,Grand Designs,1999–,TV-G,29 Apr 1999,50 min,Documentary,N/A,N/A,"Kevin McCloud, Jeremy Till, Robert Gaukroger",English,United Kingdom,8.5,None,None,series
tt0423661,Green Wing,2004–2007,TV-14,19 May 2005,65 min,"Comedy, Drama",N/A,Victoria Pile,"Sally Bretton, Oliver Chris, Olivia Colman",English,United Kingdom,8.3,None,None,series
tt0255734,Grounded for Life,2001–2005,TV-14,10 Jan 2001,22 min,Comedy,N/A,"Bill Martin, Mike Schiff","Donal Logue, Megyn Price, Kevin Corrigan",English,United States,7.4,None,None,series
tt0059992,Hawk,1966–,N/A,08 Sep 1966,60 min,"Drama, Crime",N/A,Allan Sloane,"Burt Reynolds, Wayne Grice",English,United States,7.4,None,None,series
tt0054545,Hazel,1961–1966,N/A,28 Sep 1961,30 min,Comedy,N/A,Ted Key,"Shirley Booth, Bobby Buntrock, Don DeFore",English,United States,7.1,None,None,series
tt1094229,Heartland,2007–,TV-PG,14 Oct 2007,45 min,"Drama, Family",N/A,Murray Shostak,"Amber Marshall, Shaun Johnston, Michelle Morgan",English,Canada,8.4,None,None,series
tt2221679,Heirloom,2012,N/A,31 Jan 2012,5 min,"Short, Thriller",Matt Christopher Jones,Matt Christopher Jones,"David Howard, Carson Cerney, Haley Goldman, Brandon S.N. Butler",English,United States,7.8,None,None,movie
tt0437005,Hell's Kitchen,2005–,TV-14,30 May 2005,42 min,"Game-Show, Reality-TV",N/A,N/A,"Gordon Ramsay, Jean Philippe Susilovic, Scott Leibfried",English,United States,7.1,None,None,series
tt7645618,Heroes of lucha libre,2017–,N/A,01 Oct 2017,N/A,Action,N/A,N/A,"Mistico, Dragon Lee",Spanish,United States,N/A,None,None,series
tt5247284,Hidden Heroes,2015–2018,E,03 Oct 2015,22 min,"Family, Reality-TV",N/A,N/A,Brooke Burke,N/A,N/A,8.7,None,None,series
tt0095305,High Tide,1987,PG-13,30 Jul 1987,101 min,Drama,Gillian Armstrong,Laura Jones,"Judy Davis, Jan Adele, Claudia Karvan",English,Australia,7.1,91%,None,movie
tt0086730,Highway to Heaven,1984–1989,Not Rated,19 Sep 1984,60 min,"Drama, Fantasy",N/A,Michael Landon,"Michael Landon, Victor French, James Troesh",English,United States,6.8,None,None,series
tt2232345,Hit & Miss,2012,N/A,22 May 2012,45 min,Drama,N/A,Paul Abbott,"Chloë Sevigny, Roma Christensen, Jorden Bennie",English,United Kingdom,7.8,None,None,series
tt0409570,Huff,2004–2006,TV-MA,07 Nov 2004,55 min,"Comedy, Drama",N/A,Bob Lowry,"Hank Azaria, Paget Brewster, Anton Yelchin",English,United States,7.9,None,None,series
tt1354663,Human Prey,2009–,N/A,21 Jan 2009,60 min,"Action, Adventure, Drama",N/A,N/A,"Sergio Duque, Andre Alexsen, Pierre Breytenbach",English,"Canada, United States",6.9,None,None,series
tt0278504,Insomnia,2002,R,24 May 2002,118 min,"Drama, Mystery, Thriller",Christopher Nolan,"Hillary Seitz, Nikolaj Frobenius, Erik Skjoldbjærg","Al Pacino, Robin Williams, Hilary Swank",English,"United States, United Kingdom",7.2,92%,78/100,movie
tt0086737,It's Your Move,1984–1985,N/A,26 Sep 1984,30 min,Comedy,N/A,"Ron Leavitt, Michael G. Moye","Jason Bateman, Caren Kaye, Tricia Cast",English,United States,8.2,None,None,series
tt0069596,Jeannie,1973–1975,N/A,08 Sep 1973,30 min,"Animation, Fantasy, Comedy",N/A,N/A,"Julie McWhirter, Mark Hamill, Joe Besser",English,United States,6.0,None,None,series
tt0875948,Killer Wave,2007–,TV-14,05 Aug 2007,175 min,"Action, Adventure, Drama",N/A,N/A,"Angus Macfadyen, Karine Vanasse, Louis Philippe Dandenault",English,"United States, Canada",4.3,None,None,series
tt0455596,The Librarian: Return to King Solomon's Mines,2006,TV-PG,03 Dec 2006,92 min,"Action, Adventure, Comedy, Drama, Fantasy, Romance, Thriller",Jonathan Frakes,"Marco Schnabel, David N. Titcher (characters)","Noah Wyle, Gabrielle Anwar, Bob Newhart, Jane Curtin","English, French, Arabic",United States,6.2,None,None,movie
tt0983514,Kitchen Nightmares,2007–2014,TV-14,19 Sep 2007,60 min,Reality-TV,N/A,N/A,"Gordon Ramsay, Arthur Smith, Kim Seeley",English,United States,7.5,None,None,series
tt2172103,Last Resort,2012–2013,TV-14,27 Sep 2012,60 min,"Action, Drama, Mystery",N/A,"Karl Gajdusek, Shawn Ryan","Andre Braugher, Scott Speedman, Daisy Betts",English,United States,7.4,None,None,series
tt1975734,The Legends of King Arthur,2001–,N/A,08 Sep 2003,147 min,"Documentary, Biography, History",N/A,N/A,"Nikolai Tolstoy, Richard Demarco, Ronald Hutton",English,United Kingdom,6.4,None,None,series
tt6998202,Little Dog,2018–,N/A,01 Mar 2018,22 min,Comedy,N/A,Joel Thomas Hynes,"Joel Thomas Hynes, Ger Ryan, Katharine Isabelle",English,Canada,6.3,None,None,series
tt0082971,Raiders of the Lost Ark,1981,PG,12 Jun 1981,115 min,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen, Paul Freeman","English, German, Hebrew, Spanish, Arabic, Nepali",United States,8.4,95%,85/100,movie
tt0162462,Mama Flora's Family,1998,TV-PG,08 Nov 1998,175 min,Drama,N/A,N/A,"Cicely Tyson, Erika Alexander, Blair Underwood",English,United States,7.8,91%,None,series
tt0292414,McLeod's Daughters,2001–2009,TV-14,02 Oct 2004,45 min,"Drama, Romance, Western",N/A,"Posie Graeme-Evans, Caroline Stanton","Aaron Jeffery, Rachael Carpani, Simmone Mackinnon",English,Australia,7.2,None,None,series
tt0127385,Men in Black: The Series,1997–2001,TV-Y7,11 Oct 1997,25 min,"Animation, Action, Comedy",N/A,"Duane Capizzi, Jeff Kline, Richard Raynis","Keith Diamond, Charles Napier, Patrick Pinney",English,"United States, Canada",6.8,None,None,series
tt1199099,Merlin,2008–2012,TV-PG,21 Jun 2009,45 min,"Adventure, Drama, Fantasy",N/A,"Johnny Capps, Julian Jones, Jake Michie","John Hurt, Colin Morgan, Bradley James",English,United Kingdom,7.9,None,None,series
tt10305444,Metro Sexual,2019–,N/A,02 Dec 2019,N/A,Comedy,N/A,"Henry Boffin, Nicholas Kraak, Riley Nottingham","Geraldine Hickey, Riley Nottingham, Urvi Majumdar",English,Australia,6.7,None,None,series
tt0118401,Midsomer Murders,1997–,TV-14,28 Jun 1998,90 min,"Crime, Drama, Mystery",N/A,Caroline Graham,"John Nettles, Jane Wymark, Barry Jackson",English,United Kingdom,7.7,None,None,series
tt0339397,Mix,2004,N/A,29 Jan 2004,97 min,"Comedy, Drama",Steven Lovy,"Robert Lovy, Steven Lovy","Alex Weed, Jeffrey Schecter, János Kulka","English, Hungarian","United States, Hungary",5.9,None,None,movie
tt1579071,Motor City Motors,2009–,N/A,28 Dec 2009,60 min,Reality-TV,N/A,N/A,"Dave Kaye, Jeremy Brandt, James Kaye",English,United States,5.1,None,None,series
tt6043648,Motorclub,2016–,N/A,20 Oct 2016,23 min,Sport,N/A,N/A,"Brian Deegan, Tanner Foust, Ken Gushi, Travis Pastrana",English,United States,N/A,None,None,series
tt1583638,Mr. Sunshine,2011–2012,TV-PG,09 Feb 2011,293 min,Comedy,N/A,"Alex Barnow, Marc Firek, Matthew Perry","Matthew Perry, Andrea Anders, James Lesure",English,United States,6.7,None,None,series
tt0108869,Muddling Through,1994,N/A,09 Jul 1994,30 min,"Comedy, Crime, Horror",N/A,Barton Dean,"Stephanie Hodge, D. David Morin, Jennifer Aniston",English,United States,6.4,None,None,series
tt0364844,Murder City,2004–2006,TV-14,17 Aug 2006,90 min,"Crime, Drama, Mystery",N/A,Robert Murphy,"Amanda Donohoe, Kris Marshall, Connor McIntyre",English,United Kingdom,7.1,None,None,series
tt0340256,My Big Fat Greek Life,2003,TV-PG,24 Feb 2003,30 min,Comedy,N/A,"Marsh McCall, Nia Vardalos","Nia Vardalos, Lainie Kazan, Steven Eckholdt",English,United States,4.6,None,None,series
tt0496356,My Boys,2006–2010,TV-PG,28 Nov 2006,30 min,"Comedy, Romance",N/A,Betsy Thomas,"Jordana Spiro, Kyle Howard, Reid Scott",English,United States,7.3,None,None,series
tt0092410,My Two Dads,1987–1990,TV-G,20 Sep 1987,30 min,"Comedy, Family",N/A,"Danielle Alexandra, Michael Jacobs","Paul Reiser, Greg Evigan, Staci Keanan",English,United States,6.1,None,None,series
