IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt2788732,Pete's Dragon,2016,PG,12 Aug 2016,102 min,"Action, Adventure, Comedy",David Lowery,"David Lowery, Toby Halbrooks, Malcolm Marmorstein","Bryce Dallas Howard, Robert Redford, Oakes Fegley",English,"United States, New Zealand",6.7,88%,71/100,movie,False,False
tt4669186,Kevin Hart: What Now?,2016,R,14 Oct 2016,96 min,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford","Kevin Hart, Don Cheadle, Halle Berry",English,United States,5.9,76%,60/100,movie,False,False
tt5155780,The Discovery,2017,TV-MA,31 Mar 2017,102 min,"Drama, Romance, Sci-Fi",Charlie McDowell,"Charlie McDowell, Justin Lader","Robert Redford, Mary Steenburgen, Brian McCarthy",English,United States,6.3,46%,54/100,movie,False,False
tt5097050,Chewing Gum,2015–2017,TV-MA,31 Oct 2016,23 min,Comedy,N/A,N/A,"Michaela Coel, Danielle Walters, Robert Lonsdale",English,United Kingdom,7.7,,,series,False,False
tt5993744,Cheer Squad,2016–,N/A,06 Jul 2016,60 min,Reality-TV,N/A,N/A,Ali Moffatt,English,United States,7.4,,,series,False,False
tt5505722,Only for One Night,2016,TV-14,01 Oct 2016,86 min,Thriller,Chris Stokes,N/A,"Brian White, Karrueche Tran, Angelique Pereira",English,United States,4.5,,,movie,False,False
tt0362270,The Life Aquatic with Steve Zissou,2004,R,25 Dec 2004,119 min,"Action, Adventure, Comedy",Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Anjelica Huston","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",United States,7.3,73%,62/100,movie,False,False
tt0330251,The L Word,2004–2009,TV-MA,18 Jan 2004,50 min,"Drama, Romance",N/A,"Michele Abbott, Ilene Chaiken, Kathy Greenberg","Jennifer Beals, Leisha Hailey, Laurel Holloman",English,"Canada, United States",7.6,,,series,False,False
tt0496424,30 Rock,2006–2013,TV-14,11 Oct 2006,22 min,Comedy,N/A,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan",English,United States,8.2,,,series,False,False
tt0804503,Mad Men,2007–2015,TV-14,19 Jul 2007,47 min,Drama,N/A,Matthew Weiner,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser",English,United States,8.6,,,series,False,False
