IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0079588,The Muppet Movie,1979,G,22 Jun 1979,95 min,"Adventure, Comedy, Family",James Frawley,"Jerry Juhl, Jack Burns","Jim Henson, Frank Oz, Jerry Nelson",English,"United Kingdom, United States",7.6,88%,74/100,movie
tt1204342,The Muppets,2011,PG,23 Nov 2011,103 min,"Adventure, Comedy, Family",James Bobin,"Jason Segel, Nicholas Stoller, Jim Henson","Amy Adams, Jason Segel, Chris Cooper",English,"United States, United Kingdom, France",7.1,95%,75/100,movie
tt4651824,The Muppets.,2015–2016,TV-PG,21 Jul 2015,21 min,"Comedy, Family",N/A,"Bob Kushell, Bill Prady","Dave Goelz, Eric Jacobson, Bill Barretta",English,United States,7.4,,,series
tt0165052,The New Adventures of Winnie the Pooh,1988–1991,TV-Y,17 Jan 1988,30 min,"Animation, Adventure, Comedy",N/A,N/A,"John Fiedler, Jim Cummings, Ken Sansom",English,United States,7.7,,,series
tt0046125,The New Neighbor,1953,N/A,01 Aug 1953,7 min,"Family, Comedy, Animation","Jack Hannah, David Hand","Nick George, Milt Schaffer","Pinto Colvig, Billy Bletcher, Clarence Nash",English,United States,7.2,,,movie
tt1462769,The Odd Life of Timothy Green,2012,PG,15 Aug 2012,105 min,"Comedy, Drama, Family",Peter Hedges,"Peter Hedges, Ahmet Zappa","Jennifer Garner, Joel Edgerton, CJ Adams",English,United States,6.6,36%,47/100,movie
tt0029339,The Old Mill,1937,Approved,05 Nov 1937,9 min,"Animation, Short, Comedy",Wilfred Jackson,Dick Rickard,"Elvia Allman, Marie Arbuckle, Dorothy Compton",None,United States,7.8,,,movie
tt0035148,The Olympic Champ,1942,Approved,09 Oct 1942,7 min,"Animation, Short, Comedy","Jack Kinney, Ben Sharpsteen","Jack Kinney, Webb Smith, Leo Thiele",John McLeish,English,United States,7.0,,,movie
tt0219222,The Olympic Elk,1952,Approved,13 Feb 1952,27 min,"Documentary, Short",James Algar,"Winston Hibler, Ted Sears, James Algar",Winston Hibler,English,United States,7.2,,,movie
tt0246834,The Other Me,2000,TV-G,08 Sep 2000,90 min,"Comedy, Family, Sci-Fi",Manny Coto,"Mary C. Ryan (book), Jeff Schechter (teleplay)","Andrew Lawrence, Mark L. Taylor, Lori Hallier, Alison Pill",English,United States,6.1,,,movie
tt0055277,The Parent Trap,1961,Passed,21 Jun 1961,129 min,"Comedy, Family, Romance",David Swift,"Erich Kästner, David Swift","Hayley Mills, Maureen O'Hara, Brian Keith",English,United States,7.1,90%,73/100,movie
tt0120783,The Parent Trap,1998,PG,29 Jul 1998,128 min,"Adventure, Comedy, Drama",Nancy Meyers,"Erich Kästner, David Swift, Nancy Meyers","Lindsay Lohan, Dennis Quaid, Natasha Richardson","English, French","United States, United Kingdom",6.6,86%,64/100,movie
tt0024451,The Pied Piper,1933,N/A,16 Sep 1933,8 min,"Animation, Short, Family",Wilfred Jackson,"Robert Browning, Ted Sears, Webb Smith","Marion Darlington, George Gramlich, Harriette Haddon",English,United States,6.7,,,movie
tt0561332,The Plausible Impossible,1956,Not Rated,31 Oct 1956,50 min,"Adventure, Drama, Family","William Beaudine, Wilfred Jackson",Dick Huemer,"Walt Disney, Leopold Stokowski, Clarence Nash",English,United States,7.4,,,episode
tt0274728,The Poof Point,2001,TV-G,14 Sep 2001,90 min,"Comedy, Family, Sci-Fi",Neal Israel,"Ellen Weiss (novel), Mel Friedman (novel), Stu Krieger (teleplay)","Tahj Mowry, Dawnn Lewis, Mark Curry, Raquel Lee",English,United States,4.6,,,movie
