imdb_id,platform_id
tt6202458,P03
tt6764646,P03
tt6847466,P03
tt6904118,P03
tt6998202,P03
tt7156624,P03
tt7350428,P03
tt7461200,P03
tt7520178,P03
tt7645618,P03
tt8050858,P03
tt8107992,P03
tt8418214,P03
tt8629136,P03
tt8713700,P03
tt8870164,P03
tt9723520,P03
tt0019422,P02
tt0022647,P02
tt0022899,P02
tt0023422,P02
tt0024451,P02
tt0024660,P02
tt0024886,P02
tt0025184,P02
tt0025200,P02
tt0025997,P02
tt0026094,P02
tt0026423,P02
tt0026816,P02
tt0027126,P02
tt0027569,P02
tt0027964,P02
tt0028390,P02
tt0028726,P02
tt0028981,P02
tt0029161,P02
tt0029188,P02
tt0029339,P02
tt0029583,P02
tt0029930,P02
tt0030069,P02
tt0030128,P02
tt0030448,P02
tt0031086,P02
tt0031431,P02
tt0031905,P02
tt0031945,P02
tt0032071,P02
tt0032401,P02
tt0032455,P02
tt0032814,P02
tt0032815,P02
tt0032910,P02
tt0033124,P02
tt0033188,P02
tt0033356,P02
tt0033448,P02
tt0033460,P02
tt0033824,P02
tt0034091,P02
tt0034492,P02
tt0034873,P02
tt0034874,P02
tt0034875,P02
tt0035064,P02
tt0035148,P02
tt0035820,P02
tt0036326,P02
tt0036933,P02
tt0038166,P02
tt0038489,P02
tt0038674,P02
tt0039263,P02
tt0039404,P02
tt0039628,P02
tt0040580,P02
tt0040698,P02
tt0041094,P02
tt0041112,P02
tt0042047,P02
tt0042332,P02
tt0043063,P02
tt0043067,P02
tt0043274,P02
tt0043428,P02
tt0043839,P02
tt0043890,P02
tt0044821,P02
tt0044835,P02
tt0045037,P02
tt0045038,P02
tt0045197,P02
tt0045314,P02
tt0045696,P02
tt0046008,P02
tt0046125,P02
tt0046183,P02
tt0046672,P02
tt0046932,P02
tt0047642,P02
tt0047757,P02
tt0047775,P02
tt0047803,P02
tt0047864,P02
tt0047867,P02
tt0047977,P02
tt0048280,P02
tt0049125,P02
tt0049733,P02
tt0050798,P02
tt0050837,P02
tt0052722,P02
tt0052948,P02
tt0053271,P02
tt0053285,P02
tt0053977,P02
tt0054195,P02
tt0054307,P02
tt0054357,P02
tt0054594,P02
tt0054649,P02
tt0054944,P02
tt0055254,P02
tt0055277,P02
tt0055740,P02
tt0056441,P02
tt0057180,P02
tt0057546,P02
tt0058056,P02
tt0058331,P02
tt0059742,P02
tt0059793,P02
tt0059796,P02
tt0061135,P02
tt0061333,P02
tt0061852,P02
tt0062737,P02
tt0064603,P02
tt0064705,P02
tt0065421,P02
tt0065566,P02
tt0066728,P02
tt0066817,P02
tt0067172,P02
tt0068276,P02
tt0068789,P02
tt0069291,P02
tt0070608,P02
tt0071199,P02
tt0071288,P02
tt0071607,P02
tt0072653,P02
tt0072728,P02
tt0072951,P02
tt0073760,P02
tt0074599,P02
tt0075200,P02
tt0075347,P02
tt0075807,P02
tt0076054,P02
tt0076137,P02
tt0076363,P02
tt0076538,P02
tt0076618,P02
tt0076759,P02
tt0077305,P02
tt0078158,P02
tt0078281,P02
tt0078790,P02
tt0078869,P02
tt0079588,P02
tt0080062,P02
tt0080684,P02
tt0080788,P02
tt0080861,P02
tt0081938,P02
tt0082017,P02
tt0082406,P02
tt0082474,P02
tt0083481,P02
tt0084827,P02
tt0085936,P02
tt0086190,P02
tt0087291,P02
tt0088161,P02
tt0088528,P02
tt0088814,P02
tt0089385,P02
